FID,TAZID,CO_TAZID,DEVACRES,SA_2016,HH_19,JOB_19,JOBAUTO_19,HHAUTO_19,JOBTRANSIT_19,HHTRANSIT_19,COMPAUTO_19,COMPTRANSIT_19,HH_30,JOB_30,JOBAUTO_30,HHAUTO_30,JOBTRANSIT_30,HHTRANSIT_30,COMPAUTO_30,COMPTRANSIT_30,HH_40,JOB_40,JOBAUTO_40,HHAUTO_40,JOBTRANSIT_40,HHTRANSIT_40,COMPAUTO_40,COMPTRANSIT_40,HH_50,JOB_50,JOBAUTO_50,HHAUTO_50,JOBTRANSIT_50,HHTRANSIT_50,COMPAUTO_50,COMPTRANSIT_50,SHAPE_Length,SHAPE_Area
2617,193,570193,563.81,9,152.2,2041.7,108083.956683,76803.5339791,11399.7149596,3802.82614173,73672.8103293,4039.23039028,173.5,2129,119345.131091,88051.9518934,11793.4491219,4218.25251342,84162.9516423,4458.15676737,202.7,2150.5,129773.833935,104112.505479,12223.8573726,4873.59846796,98646.7554406,5109.16702964,232.8,2144.2,131791.529702,112477.670813,13050.9527255,5809.74363093,105478.56165,6012.17704433,9089.80143182393,4064314.90410746
2618,209,570209,249.46,8,1233.5,266.3,104428.916734,73928.3650715,21953.0248869,13049.724788,53434.5642732,10994.263546,1402.5,253.7,119203.18411,86452.5156458,27241.7037079,16400.0446787,62255.8201961,13947.053639,1517.7,368.2,127471.54602,100390.079292,28162.8080893,18430.5014552,70749.4281664,15207.1227134,1601.3,269.7,127967.617234,108048.437115,28779.3300844,19722.3970594,72036.3023436,15820.6948221,5471.04960828421,1805778.51388887
2619,236,570236,320.92,9,91.8,15.5,111172.000366,80545.8991111,0,0,56560.7526978,0,92.5,15.5,132107.318809,95912.4915843,0,0,68837.1150091,0,92.5,52.9,143352.186127,111842.717917,0,0,83754.3525748,0,135.5,45.7,145328.885957,119076.545994,0,0,84394.0661054,0,6442.31819226544,2305015.38167234
2620,252,570252,329.22,9,104.7,12.8,110323.232645,80663.7087307,0,0,55656.8558929,0,108.7,13.2,130336.381871,95058.9587255,0,0,67354.238789,0,109.2,93.9,142009.304563,111345.903949,0,0,86041.2554441,0,156,69.5,143894.434477,118371.66178,0,0,85263.7710484,0,6486.74480654667,2358044.27595733
2621,272,570272,437.7,9,455,72.2,94516.6278321,76698.6309721,0,0,48586.6510897,0,483.5,64.3,119471.526522,97939.2123969,0,0,62556.504266,0,507.3,73.8,126968.518364,113178.601895,0,0,70006.7973109,0,519,67.7,133267.579096,124086.624868,0,0,75061.9067459,0,7918.67430321525,3136145.9256034
2622,296,570296,198.69,7,668.2,187,130871.681364,106535.896863,22421.9063233,11983.0186661,69351.386001,11124.5351014,741.5,227.2,168235.430666,128384.130044,27315.7469936,15172.2001934,90586.1614131,13949.5458697,799.2,240.5,165542.605591,139812.702725,28532.1469169,17084.2515388,94186.8449821,15276.1747087,843,277.2,170495.494626,149308.637021,31864.7928325,19707.2748217,100295.200051,17513.4997284,4826.81702689263,1440639.6466844
2623,347,570347,97.71,8,296.5,24.2,108229.468818,73915.6911134,0,0,53929.099481,0,313.3,25.8,125711.145426,85621.0238528,0,0,64217.2797717,0,322,36.8,135783.923866,100340.461767,0,0,72981.3584592,0,332.5,20.7,138123.956723,109025.681853,0,0,75361.3913664,0,3663.47811756519,719054.125946045
2624,359,570359,106.44,8,431.2,227.2,117542.678182,80327.6156179,29622.0021959,15054.1724369,62349.9480232,14646.4750086,447.3,231.8,137646.458736,93375.5309405,36619.0701047,18946.1304999,74317.370069,18550.7599085,454.8,230.5,150508.739321,111614.887679,38028.0269588,21288.7732085,85917.3433169,20254.6510199,459.5,231.2,153439.647851,121220.993263,39935.8181152,23288.3164949,90715.7441137,21851.9991433,3700.79161844644,762512.288639198
2625,394,570394,232.96,8,619.3,380.3,128961.527567,87456.3296538,27027.5248272,13030.168129,68899.2974461,13212.4764868,703.5,440.2,156053.277578,103168.639232,30757.2355595,15605.1014309,84499.6495246,15521.0340412,771.5,431.9,163612.522705,120586.391709,31846.3602275,17526.5422249,93829.1256915,16912.2290084,811.5,417.2,166651.794865,128294.312461,41487.7146256,23342.4345572,97951.3824776,22523.8420099,5449.00675289423,1667082.14360823
2626,271,570271,859.54,7,351.3,244.9,82794.2937016,72465.6823706,0,0,48756.1627658,0,555.5,296.7,110425.24398,98583.0261659,0,0,64735.9956375,0,720.8,455,114694.672438,113750.306144,0,0,73580.7036289,0,842.3,296.2,123538.822502,125723.820978,0,0,75826.6715575,0,9993.75682600983,6146331.84791445
2627,487,110487,419.42,8,771.5,129,95970.8485892,72339.8823887,3525.19881243,1650.72122877,49024.4579493,1724.42130032,790.7,215.7,131870.361792,100607.454448,5151.56091441,2268.69660462,70561.2973876,2555.74713101,807.3,296.1,130313.24217,111373.955267,5526.12021299,2592.49721701,75397.1145739,2853.11144618,817.8,503,129189.015923,112620.122,5711.98967451,2778.74992229,80162.3853977,2997.58178416,8039.42107133607,3008140.29110178
2628,467,110467,642.74,7,1572.8,840.8,101447.844798,85318.2322304,14093.4414133,6908.05111683,57182.6973478,6916.14764383,1822.3,1266.3,134683.759067,110135.811232,17229.3524701,8771.9543969,78814.0890426,8703.55392713,2016,1318.1,129742.72417,114993.52695,19783.8565999,10312.7454931,80137.8104799,10373.3060632,2151.8,1463.5,133704.358355,123114.145571,26745.407557,14741.734864,85579.8354701,14472.7118181,8568.91450029596,4587000.12469024
2629,521,110521,486.07,6,272.2,59,91931.2777035,69376.3546269,0,0,47459.717923,0,308.2,90.5,124223.343857,105349.053086,0,0,68091.267531,0,336.7,69,129507.570423,117297.700922,0,0,72828.9367833,0,360.3,92.7,133681.791059,119988.091554,0,0,77695.6897597,0,8518.3707660087,3478118.33436073
2630,525,110525,308.42,6,1483.7,576.8,123990.038538,75671.018364,32002.9685,10106.6626033,63237.6910549,14811.8831908,1627.3,1033.5,149369.797324,94129.4621098,35803.8525493,12659.2814921,79824.5939763,16733.378743,1950.5,2011.6,160038.108982,107447.505032,38718.6635866,15427.5362948,92292.8009996,18615.0275121,2262.5,1616.8,166939.82638,119642.212588,41343.8380042,17495.2963002,98024.7242816,20909.1721126,6051.10931716005,2260188.82124534
